#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;exposure;capture_mode night_imaging. The higher the number; the higher the priority. Default capture mode; valid_until (iso-format)
buenosaires;-34.50;-57.90;50;5;30;wide;0;
lakeokeechobee;26.91;-80.80;50;5;30;wide;0;
virginiabeach;36.90;-75.70;50;5;30;wide;0;
rogaland;59.17;5.67;60;10;35;wide;0;
tampa;27.7354;-82.5834;55;10;35;wide;0;
hboi;27.51;-80.4;55;10;35;wide;0;
cedarKey;29.0166;-83.0427;55;10;35;wide;0;
chandeleurSound;29.7927;-88.821;55;10;35;wide;0;
yucatan1;20.7223;-90.4503;55;10;35;wide;0;
yucatan2;21.8583;-89.6567;55;10;35;wide;0;
gulfofcampeche;19.91;-92.10;55;10;35;wide;0;
lagunaDeTerminos;18.8035;-91.4042;55;10;35;wide;0;
longyearbyen;78.2231;15.6653;55;10;35;wide;0;
vigo;42.271441;-8.710142;60;30;30;wide;0;
ijsselmeer;52.7324;5.5132;50;15;40;wide;0;
falklandsatlantic;-54.2036;-61.0527;50;15;45;wide;0;
sanjorgegulf;-46.0742;-65.3729;50;15;40;wide;0;
lakevictoria;-0.0867;33.7058;50;10;30;wide;0;
seaofazov;45.4941;36.6463;50;10;35;wide;0;
caspiansea1;44.9028;47.9987;60;5;30;wide;0;
caspiansea2;45.7185;50.1439;60;5;30;wide;0;
caspiansea3;38.5324;53.3624;60;5;30;wide;0;
northaustralia1;-13.6363;126.1688;60;5;30;wide;0;
northaustralia2;-15.6773;124.2246;60;5;30;wide;0;
igalikufjorden;60.81;-45.58;60;10;25;wide;0;
bredefjord;60.85;-46.61;60;1;25;wide;0;
svalbardnyaalesund;78.96;11.95;60;1;35;wide;0;
svalbardeidembukta;78.38;12.30;60;1;35;wide;0;
vanmijenfjorden;77.80;15.6;60;1;50;wide;0;
alesund;62.67;5.98;60;1;40;wide;0;
bergen;60.3661;5.3218;60;5;40;wide;0;
roervik;65.00;10.50;60;1;50;wide;0;
fredrikstad;59.15;10.87;60;1;35;wide;0;
ytrehvaler;59.02;10.80;60;1;35;wide;0;
hardangerfjorden;60.18;6.05;60;1;35;wide;0;
vaeroeya;67.67;12.6;60;1;35;wide;0;
vardoe;70.34;31.1;60;1;35;wide;0;
andoeya;69.24;16.13;60;1;35;wide;0;
gulfofcalifornia;31.1912;-114.3448;50;5;30;wide;0;
eyrefjord;-49.5392;-74.1384;50;5;30;wide;0;
sanQuentinSound;-48.0017;-73.7133;50;5;30;wide;0;
lakeSanMartin;-48.7856;-72.8158;50;5;30;wide;0;
maracaibo;10.6279;-71.5728;50;5;30;wide;0;
kiribati;1.8470;-157.3866;50;5;35;wide;0;
tahiti;-17.6509;-149.4578;50;5;35;wide;0;
chetumalbay;18.4038;-88.0547;50;5;30;wide;0;
dutchwadden;53.08;5.05;60;1;35;wide;0;
osensjoen;61.22;11.86;60;1;35;wide;0;
storsjoen;60.36;11.67;60;1;35;wide;0;
boknafjorden;59.21;5.86;60;1;35;wide;0;
hardangerjokul;60.56;7.25;60;1;35;wide;0;
hardangerjokul2;60.52;7.37;60;1;35;wide;0;
peteriisland;-68.83;-90.61;60;1;30;wide;0;
bouvet;-54.42;3.36;60;1;30;wide;0;
bearisland;74.44;19.03;60;1;30;wide;0;
janmayen;71.00;-8.40;60;1;30;wide;0;
duval;-30.32;151.68;60;1;30;wide;0;
armidale;-30.45;151.62;60;1;30;wide;0;
flindersIsland;-39.7271;148.0398;50;10;40;wide;0;
macquarie;-54.67;158.82;50;5;30;wide;0;
heard;-53.0;73.22;50;5;30;wide;0;
torshavn;62.0;-6.7;50;5;30;wide;0;
spencerGulf;-33.4986;137.6430;50;10;30;wide;0;
lakeAlexandria;-35.7688;139.1451;50;10;30;wide;0;
caletaBay;-41.48;-72.93;60;1;35;wide;0;
grindavik;63.85;-22.41;60;1;35;wide;0;
tenerife;28.25;-16.56;60;1;30;wide;0;
northernAtlanticDust;28.00;-31.0;60;1;25;wide;0;
mexicogulf;30.37;-88.98;60;1;30;wide;0;
biloxi;30.35;-88.94;60;1;35;wide;0;
sesimbra;38.31;-9.11;60;1;30;wide;0;
lisbon;38.53;-9.37;60;1;30;wide;0;
a23a;-63.25;-51.52;60;1;20;wide;0;
longyearbyennight;78.2231;15.6653;45;10;999;wide;1;
dubai;25.11;55.18;60;1;20;wide;0;
fimbul;-69.65;-0.91;60;1;35;wide;0;
antarctica;-70.50;-8.25;60;1;30;wide;0;
florida;26.40;-82.12;60;1;30;wide;0;
southOcean;-68.10;6.00;60;1;30;wide;0;
tendrivska;46.22;31.75;60;1;30;wide;0;
kherson;46.64;32.56;60;1;30;wide;0;
kakhovka;46.77;33.34;60;1;30;wide;0;
cookInlet;60.60;-151.48;60;1;40;wide;0;
puertomontt;-41.91;-73.08;60;1;35;quaternion;0;
pangal;-44.83;-73.55;60;1;30;wide;0;
hobart;-43.04;147.53;60;1;30;wide;0;
balaton;46.84;17.72;60;1;30;wide;0;
pontadelgada;37.78;-25.66;60;1;20;wide;0;
khnifiss;28.08;-12.08;60;1;25;wide;0;
dahlak;16.00;40.38;60;1;25;wide;0;
djibouti;11.70;42.96;60;1;20;wide;0;
kilmia;12.22;52.19;60;1;20;quaternion;0;
palkstrait;9.5774;79.6805;60;1;30;wide;0;
gulfofmartaban;16.5178;96.9891;60;1;30;wide;0;
gulfofkhamphat;21.5714;72.4023;60;1;30;wide;0;
lakewinnipegosis;52.31;-99.85;60;1;30;wide;0;
bayoffundy;45.2926;-65.0934;60;1;30;wide;0;
stlorancedelta;47.4304;-70.1920;60;1;30;wide;0;
mauritaniacoast;19.3841;-16.6380;60;1;30;wide;0;
singapore;0.9424;103.7946;60;1;30;wide;0;
hangzhoubay;30.4683;121.9408;60;1;30;wide;0;
penzhinabay;61.4680;163.4429;60;1;30;wide;0;
lakesarygamysh;41.8962;57.408;60;1;30;wide;0;
aralsea;45.0728;58.4987;60;1;30;wide;0;
straightoftartary;52.6629;141.5666;60;1;30;wide;0;
hawkebay;-39.3982;177.1833;60;1;30;wide;0;
arafurasea;-6.9741;138.4289;60;1;30;wide;0;
timaru;-44.6329;171.2546;60;1;30;wide;0;
lakeellesmere;-43.7833;172.4539;60;1;30;wide;0;
pegasusbay;-43.3330;172.9192;60;1;30;wide;0;
bankspeninsula;-43.7666;172.9738;60;1;30;wide;0;
lakewinnipeg;53.06;-98.06;60;1;30;wide;0;
lakeqinghai;36.87;100.17;60;1;30;wide;0;
capetown;-34.24;18.29;60;1;30;wide;0;
bluenile;11.18;35.12;60;1;25;wide;0;
capedyer;66.63;-60.99;60;1;25;wide;0;
ladyfranklin;62.91;-63.68;60;1;25;wide;0;
satoaluk;56.47;-60.84;60;1;25;wide;0;
nuuk;63.92;-52.48;60;1;25;wide;0;
lakeUpemba;-8.64;26.40;60;1;30;wide;0;
labradornorth;66.37;-58.22;60;1;30;wide;0;
labradorcentral;60.97;-57.04;60;1;30;wide;0;
labradorsouth;55.33;-54.27;60;1;30;wide;0;
kremenchutskeReservoir;49.2239;32.8172;50;3;30;wide;0;
labradorwest;60.99;-63.80;60;1;30;wide;0;
labradoreast;56.27;-49.34;60;1;30;wide;0;
lakebalkhash;46.14;74.22;60;1;30;wide;0;
tasmania;-40.69;148.27;60;1;30;wide;0;
marlborough;-41.44;174.24;60;1;30;wide;0;
limerick;52.68;-8.85;60;1;25;wide;0;
trollgasfield;56.49;3.50;60;1;25;wide;0;
clairoilfield;60.79;-2.32;60;1;25;wide;0;
saltlake;41.15;-112.56;60;1;20;wide;0;
kuwait;29.61;48.54;60;1;20;wide;0;
gqeberha;-34.11;25.67;60;1;25;wide;0;
durban;-29.92;31.06;60;1;25;wide;0;
saldanha;-33.09;17.93;60;1;25;wide;0;
ilescrozet;-46.48;51.83;60;1;25;wide;0;
princeedward;-46.91;37.74;60;1;25;wide;0;
falklands;-51.79;-59.49;60;1;25;wide;0;
xaafuun;10.45;51.45;60;1;20;quaternion;0;
kalleesa;12.55;54.53;60;1;20;quaternion;0;
warsheikh;2.29;45.80;60;1;20;wide;0;
mogadishu;2.00;45.31;60;1;20;wide;0;
bajuni;-0.91;42.15;60;1;20;wide;0;
lamu;-2.21;41.09;60;1;20;wide;0;
watamu;-3.41;40.00;60;1;20;wide;0;
mombasa;-4.08;39.70;60;1;20;wide;0;
oslo;59.88;10.83;50;2;35;wide;0;
kiwani;-5.17;39.72;60;1;20;wide;0;
zanzibar;-6.15;39.34;60;1;20;wide;0;
mafia;-7.62;39.62;60;1;20;wide;0;
kilwa;-8.99;39.54;60;1;20;wide;0;
ruvuma;-10.41;40.50;60;1;20;wide;0;
mayotte;-12.80;45.15;60;1;20;wide;0;
