#Targets are defined as: Name;Latitude;Longitude;MinElevation;MaxCloudCover;Prority;exposure;capture_mode. The higher the number; the higher the priority. Default capture mode
grizzlybay;38.10;-121.90;50;5;1680;30;wide;0
voertsjaerv;58.27;26.05;50;5;1670;30;wide;0
wraysbury;51.45;-0.53;50;5;1660;30;wide;0
garda;45.57;10.57;50;5;1650;30;wide;0
macquarie;-54.67;158.82;50;5;1640;30;wide;0
heard;-53.0;73.22;50;5;1630;30;wide;0
torshavn;62.0;-6.7;50;5;1620;30;wide;0
aquawatchlakehume;-36.11;147.03;50;5;1610;30;wide;0
aquawatchcockburn;-32.25;149.06;50;5;1600;30;wide;0
aquawatchmoreton;-27.29;153.26;50;5;1590;30;wide;0
aquawatchspencer;-34.41;135.9;50;5;1580;30;wide;0
aquawatchplymouth;50.40;-4.20;50;5;1570;30;wide;0
aquawatchmelbourne;-37.99;44.69;50;5;1560;30;wide;0
aquawatchheron ;-23.44;151.91;50;5;1550;30;wide;0
aquawatchcoral;-23.13;113.73;50;5;1540;30;wide;0
aquawatchgoogang;-35.41;149.26;50;5;1530;30;wide;0
aquawatchkeppel;-23.46;150.94;50;5;1520;30;wide;0
aquawatchsarawak;1.68;110.21;50;5;1510;30;wide;0
aquawatchmekong;20.79;106.57;50;5;1500;30;wide;0
aquawatchgrahams;-32.77;151.79;50;5;1490;30;wide;0
aquawatchgrippsland;-38.07;147.61;50;5;1480;30;wide;0
caletaBay;-41.48;-72.93;60;1;1470;35;wide;0
grindavik;63.85;-22.41;60;1;1460;35;wide;0
tenerife;28.25;-16.56;60;1;1450;30;wide;0
northernAtlanticDust;28.00;-31.00;60;1;1440;25;wide;0
mexicogulf;30.37;-88.98;60;1;1430;30;wide;0
biloxi;30.35;-88.94;60;1;1420;35;wide;0
sesimbra;38.31;-9.11;60;1;1410;30;wide;0
lisbon;38.53;-9.37;60;1;1400;30;wide;0
a23a;-63.25;-51.52;60;1;1390;20;wide;0
dubai;25.11;55.18;60;1;1380;20;wide;0
fimbul;-69.65;-0.91;60;1;1370;35;wide;0
antarctica;-70.50;-8.25;60;1;1360;30;wide;0
florida;26.40;-82.12;60;1;1350;30;wide;0
southOcean;-68.10;6.00;60;1;1340;30;wide;0
tendrivska;46.22;31.75;60;1;1330;30;wide;0
kherson;46.64;32.56;60;1;1320;30;wide;0
kakhovka;46.77;33.34;60;1;1310;30;wide;0
aegean;38.46;25.21;60;1;1300;30;wide;0
marmara;40.67;28.09;60;1;1290;30;wide;0
dardanelles;40.31;26.61;60;1;1280;30;wide;0
istanbul;41.14;29.08;60;1;1270;30;quaternion;0
balearic;40.43;2.49;60;1;1260;30;wide;0
adriatic;41.44;18.35;60;1;1250;30;wide;0
cookInlet;60.60;-151.48;60;1;1240;40;wide;0
puertomontt;-41.91;-73.08;60;1;1230;35;quaternion;0
pangal;-44.83;-73.55;60;1;1220;30;wide;0
hobart;-43.04;147.53;60;1;1210;30;wide;0
balaton;46.84;17.72;60;1;1200;30;wide;0
pontadelgada;37.78;-25.66;60;1;1190;20;wide;0
khnifiss;28.08;-12.08;60;1;1180;25;wide;0
dahlak;16.00;40.38;60;1;1170;25;wide;0
djibouti;11.70;42.96;60;1;1160;20;wide;0
kilmia;12.22;52.19;60;1;1150;20;quaternion;0
palkstrait;9.5774;79.6805;60;1;1149;30;wide;0
gulfofmartaban;16.5178;96.9891;60;1;1148;30;wide;0
gulfofkhamphat;21.5714;72.4023;60;1;1147;30;wide;0
lakewinnipegosis;52.31;-99.85;60;1;1146;30;wide;0
bayoffundy;45.2926;-65.0934;60;1;1145;30;wide;0
stlorancedelta;47.4304;-70.1920;60;1;1144;30;wide;0
mauritaniacoast;19.3841;-16.6380;60;1;1143;30;wide;0
singapore;0.9424;103.7946;60;1;1142;30;wide;0
hangzhoubay;30.4683;121.9408;60;1;1141;30;wide;0
penzhinabay;61.4680;163.4429;60;1;1140;30;wide;0
lakesarygamysh;41.8962;57.4080;60;1;1139;30;wide;0
aralsea;45.0728;58.4987;60;1;1138;30;wide;0
straightoftartary;52.6629;141.5666;60;1;1137;30;wide;0
hawkebay;-39.3982;177.1833;60;1;1136;30;wide;0
arafurasea;-6.9741;138.4289;60;1;1135;30;wide;0
timaru;-44.6329;171.2546;60;1;1134;30;wide;0
lakeellesmere;-43.7833;172.4539;60;1;1133;30;wide;0
pegasusbay;-43.3330;172.9192;60;1;1132;30;wide;0
bankspeninsula;-43.7666;172.9738;60;1;1131;30;wide;0
lakewinnipeg;53.06;-98.06;60;1;1130;30;wide;0
lakeqinghai;36.87;100.17;60;1;1120;30;wide;0
capetown;-34.24;18.29;60;1;1110;30;wide;0
losangeles;33.60;-118.39;60;1;1100;30;quaternion;0
bluenile;11.18;35.12;60;1;1090;25;wide;0
capedyer;66.63;-60.99;60;1;1080;25;wide;0
ladyfranklin;62.91;-63.68;60;1;1070;25;wide;0
satoaluk;56.47;-60.84;60;1;1060;25;wide;0
nuuk;63.92;-52.48;60;1;1050;25;wide;0
lakeUpemba;-8.64;26.40;60;1;1040;30;wide;0
labradornorth;66.37;-58.22;60;1;1030;30;wide;0
labradorcentral;60.97;-57.04;60;1;1020;30;wide;0
labradorsouth;55.33;-54.27;60;1;1010;30;wide;0
kremenchutskeReservoir;49.2239;32.8172;50;3;1000;30;wide;0
labradorwest;60.99;-63.80;60;1;990;30;wide;0
labradoreast;56.27;-49.34;60;1;980;30;wide;0
lakebalkhash;46.14;74.22;60;1;970;30;wide;0
tasmania;-40.69;148.27;60;1;960;30;wide;0
marlborough;-41.44;174.24;60;1;950;30;wide;0
limerick;52.68;-8.85;60;1;940;25;wide;0
trollgasfield;56.49;3.50;60;1;930;25;wide;0
clairoilfield;60.79;-2.32;60;1;920;25;wide;0
saltlake;41.15;-112.56;60;1;910;20;wide;0
kuwait;29.61;48.54;60;1;900;20;wide;0
gqeberha;-34.11;25.67;60;1;890;25;wide;0
durban;-29.92;31.06;60;1;880;25;wide;0
saldanha;-33.09;17.93;60;1;870;25;wide;0
ilescrozet;-46.48;51.83;60;1;860;25;wide;0
princeedward;-46.91;37.74;60;1;850;25;wide;0
falklands;-51.79;-59.49;60;1;840;25;wide;0
xaafuun;10.45;51.45;60;1;830;20;quaternion;0
kalleesa;12.55;54.53;60;1;820;20;quaternion;0
warsheikh;2.29;45.80;60;1;810;20;wide;0
mogadishu;2.00;45.31;60;1;800;20;wide;0
bajuni;-0.91;42.15;60;1;790;20;wide;0
lamu;-2.21;41.09;60;1;780;20;wide;0
watamu;-3.41;40.00;60;1;770;20;wide;0
mombasa;-4.08;39.70;60;1;760;20;wide;0
oslo;59.88;10.83;50;2;2510;35;wide;0
kiwani;-5.17;39.72;60;1;750;20;wide;0
zanzibar;-6.15;39.34;60;1;740;20;wide;0
mafia;-7.62;39.62;60;1;730;20;wide;0
kilwa;-8.99;39.54;60;1;720;20;wide;0
ruvuma;-10.41;40.50;60;1;710;20;wide;0
mayotte;-12.80;45.15;60;1;700;20;wide;0
ifaho;-15.80;50.36;60;1;690;20;wide;0
miramar;-23.84;35.57;60;1;680;20;quaternion;0
maputo;-25.99;32.99;60;1;670;20;wide;0
aaland;60.16;20.16;60;1;660;40;wide;0
petersburg;59.93;30.36;60;1;650;40;wide;0
turku;60.25;22.07;60;1;640;40;wide;0
saaremaa;58.42;22.64;60;1;630;40;wide;0
bermuda;32.38;-64.77;60;1;620;30;wide;0
bahamas;25.02;-77.35;60;1;610;30;wide;0
galapagos;-0.63;-90.37;60;1;600;30;wide;0
sthelena;-15.97;-5.71;60;1;590;30;wide;0
ascension;-7.94;-14.37;60;1;580;30;wide;0
tristandacunha;-37.11;-12.28;60;1;570;30;wide;0
easter;-27.14;-109.35;60;1;560;30;wide;0
lakebeysehir;37.77;31.52;60;1;550;30;wide;0
lakeegirdir;38.04;30.88;60;1;540;30;wide;0
lakeurmia;37.70;45.39;60;1;530;30;wide;0
gulfofcampeche;19.91;-92.10;60;1;520;25;wide;0
chesapeake;37.79;-76.10;60;1;510;25;wide;0
delaware;39.00;-75.15;60;1;500;25;wide;0
baltimore;38.90;-76.39;60;1;490;25;wide;0
princewilliam;60.61;-147.16;60;1;480;25;wide;0
kotzbue;66.88;-162.62;60;1;470;25;wide;0
barbados;13.16;-59.55;60;1;460;20;wide;0
mauritius;-20.45;57.55;60;1;450;25;wide;0
capescott;50.85;-128.22;60;1;440;25;wide;0
iesjavri;69.65;24.18;60;1;430;25;wide;0
nanga;-25.57;113.40;60;1;420;20;wide;0
chad;13.12;14.52;60;1;410;20;wide;0
adelaide;-34.95;138.20;60;1;400;20;wide;0
