name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
griegesperanza,49.88,-126.77,50,15,2620,40,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 23, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 55, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
griegclio,50.60,-126.38,50,30,2610,40,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 28, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 9, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
griegnootka,49.71,-126.58,50,30,2600,30,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 19, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 39, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 53, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
griegokisollo,50.32,-125.26,50,30,2590,30,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 18, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 6, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
catala,49.78,-127.1,40,15,2580,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 31, 1, tzinfo=datetime.timezone.utc), '', '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 16, tzinfo=datetime.timezone.utc), '', '', '', '', '']"
vancouver,49.11,-123.12,40,15,2570,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 26, 5, 2, 1, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 25, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 26, 5, 1, 27, tzinfo=datetime.timezone.utc), '', '', '']"
blubberbay,49.8,-124.62,40,20,2560,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 6, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 52, tzinfo=datetime.timezone.utc), '', '', '', '']"
deepbay,49.46,-124.74,40,30,2550,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 12, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 57, tzinfo=datetime.timezone.utc), '', '', '', '']"
sechelt,49.3,-123.77,40,30,2540,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 3, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 25, 6, tzinfo=datetime.timezone.utc), '', '', '', '']"
whalersbay,48.89,-123.33,40,30,2530,35,wide,0,"[datetime.datetime(2024, 11, 24, 18, 53, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 30, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 24, 5, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2024, 11, 24, 18, 54, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 5, 32, 1, tzinfo=datetime.timezone.utc), datetime.datetime(2024, 11, 25, 18, 25, 16, tzinfo=datetime.timezone.utc), '', '', '', '']"
