name,longitude,latitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
griegesperanza,49.88,-126.77,50,15,2620,40,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 57, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 19, 12, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 12, tzinfo=datetime.timezone.utc), '', '', '']"
griegclio,50.60,-126.38,50,30,2610,40,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 44, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 19, 12, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 2, tzinfo=datetime.timezone.utc), '', '', '']"
griegnootka,49.71,-126.58,50,30,2600,30,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 57, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 19, 12, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 17, tzinfo=datetime.timezone.utc), '', '', '']"
griegokisollo,50.32,-125.26,50,30,2590,30,wide,0,"[datetime.datetime(2025, 1, 21, 5, 49, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 37, tzinfo=datetime.timezone.utc), '', '', '', '']","[datetime.datetime(2025, 1, 21, 5, 49, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 14, tzinfo=datetime.timezone.utc), '', '', '', '']"
catala,49.78,-127.1,40,15,2580,35,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 37, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 36, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 20, 19, 13, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 50, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 38, tzinfo=datetime.timezone.utc), '', '', '']"
vancouver,49.11,-123.12,40,15,2570,35,wide,0,"[datetime.datetime(2025, 1, 21, 5, 48, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 42, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 21, 5, 49, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 46, tzinfo=datetime.timezone.utc), '', '', '']"
blubberbay,49.8,-124.62,40,20,2560,35,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 6, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 19, 12, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 51, tzinfo=datetime.timezone.utc), '', '']"
deepbay,49.46,-124.74,40,30,2550,35,wide,0,"[datetime.datetime(2025, 1, 20, 19, 12, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 48, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 4, tzinfo=datetime.timezone.utc), '', '']","[datetime.datetime(2025, 1, 20, 19, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 5, 49, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 43, tzinfo=datetime.timezone.utc), '', '']"
sechelt,49.3,-123.77,40,30,2540,35,wide,0,"[datetime.datetime(2025, 1, 21, 5, 48, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 50, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 21, 5, 49, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 46, tzinfo=datetime.timezone.utc), '', '', '']"
whalersbay,48.89,-123.33,40,30,2530,35,wide,0,"[datetime.datetime(2025, 1, 21, 5, 48, 27, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 40, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 41, tzinfo=datetime.timezone.utc), '', '', '']","[datetime.datetime(2025, 1, 21, 5, 49, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 41, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 41, tzinfo=datetime.timezone.utc), '', '', '']"
