Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
barentssea1,3981,2816.678011459,30,2,2470,2024-11-24T09:00:00.0
svalbardeidembukta,3240,2816.678011459,30,2,2400,2024-11-24T09:00:00.0
erie,816,2816.678011459,30,2,2270,2024-11-24T09:00:00.0
laplata,2042,2816.678011459,30,2,2230,2024-11-24T09:00:00.0
socheongcho,3396,2816.678011459,30,2,2180,2024-11-24T09:00:00.0

ingdalen,239,3494.105405834,30,3,2690,2024-11-24T09:00:00.0
socheongcho,3396,3494.105405834,30,3,2210,2024-11-24T09:00:00.0
svalbardnyaalesund,1163,3494.105405834,30,3,2414,2024-11-24T09:00:00.0
kemigawa,387,3494.105405834,30,3,2220,2024-11-24T09:00:00.0
hboi,3645,3494.105405834,30,3,2190,2024-11-24T09:00:00.0
magest,3071,3494.105405834,30,3,2250,2024-11-24T09:00:00.0
griegclio,2463,3494.105405834,30,3,2610,2024-11-24T09:00:00.0
grieghammerfest,50,3494.105405834,30,3,2490,2024-11-24T09:00:00.0
barentssea5,3792,3494.105405834,30,3,2450,2024-11-24T09:00:00.0
vanmijenfjorden,233,3494.105405834,30,3,2410,2024-11-24T09:00:00.0
trondheim,3061,3494.105405834,30,3,2720,2024-11-24T09:00:00.0
griegloppa,1158,3494.105405834,30,3,2500,2024-11-24T09:00:00.0
atlantic1,4718,3494.105405834,30,3,2425,2024-11-24T09:00:00.0
erie,817,3494.105405834,30,3,2310,2024-11-24T09:00:00.0
lakeanoya,1340,3494.105405834,30,3,2670,2024-11-24T09:00:00.0
bouvet,4476,3494.105405834,30,3,2350,2024-11-24T09:00:00.0
griegesperanza,1188,3494.105405834,30,3,2620,2024-11-24T09:00:00.0
svalbardeidembukta,3240,3494.105405834,30,3,2411,2024-11-24T09:00:00.0
janmayen,3245,3494.105405834,30,3,2340,2024-11-24T09:00:00.0
englishatlantic,243,3494.105405834,30,3,2430,2024-11-24T09:00:00.0
moby,1391,3494.105405834,30,3,2330,2024-11-24T09:00:00.0
thornton,4344,3494.105405834,30,3,2280,2024-11-24T09:00:00.0
plocan,4519,3494.105405834,30,3,2240,2024-11-24T09:00:00.0
trondheimnorth,54,3494.105405834,30,3,2709,2024-11-24T09:00:00.0
berre,5516,3494.105405834,30,3,2260,2024-11-24T09:00:00.0
wilmington,3641,3494.105405834,30,3,2160,2024-11-24T09:00:00.0
barentssea3,2870,3494.105405834,30,3,2440,2024-11-24T09:00:00.0
northsea,3067,3494.105405834,30,3,2432,2024-11-24T09:00:00.0
barentssea1,3981,3494.105405834,30,3,2480,2024-11-24T09:00:00.0
buenosaires,1103,3494.105405834,30,3,2200,2024-11-24T09:00:00.0
irbe,2876,3494.105405834,30,3,2300,2024-11-24T09:00:00.0
caspiansea3,3961,3494.105405834,30,3,2421,2024-11-24T09:00:00.0
frohavet,1344,3494.105405834,30,3,2700,2024-11-24T09:00:00.0
vancouver,4010,3494.105405834,30,3,2580,2024-11-24T09:00:00.0
venice,62,3494.105405834,30,3,2270,2024-11-24T09:00:00.0
buvika,4163,3494.105405834,30,3,2710,2024-11-24T09:00:00.0
barentssea4,971,3494.105405834,30,3,2460,2024-11-24T09:00:00.0
lucinda,1788,3494.105405834,30,3,2230,2024-11-24T09:00:00.0
barentssea2,46,3494.105405834,30,3,2470,2024-11-24T09:00:00.0
