Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
baotau,1280,1471.674751291,50,4,2230,2024-11-24T09:00:00.0
buvika,2498,1471.674751291,50,4,2710,2024-11-24T09:00:00.0
barentssea1,28,1471.674751291,50,4,2460,2024-11-24T09:00:00.0
northaustralia2,1185,1471.674751291,50,4,2400,2024-11-24T09:00:00.0
plocan,156,1471.674751291,50,4,2140,2024-11-24T09:00:00.0
kemigawa,232,1471.674751291,50,4,2120,2024-11-24T09:00:00.0
casablanca,2603,1471.674751291,50,4,2150,2024-11-24T09:00:00.0
ingdalen,1751,455.9558504,50,1,2690,2025-01-15T10:00:00.0
frohavet,62,455.9558504,50,1,2700,2025-01-15T10:00:00.0
lakeanoya,2413,455.9558504,50,1,2670,2025-01-15T10:00:00.0
stjordal,1753,455.9558504,50,1,2661,2025-01-15T10:00:00.0
buvika,3442,455.9558504,50,1,2710,2025-01-15T10:00:00.0
trondheimnorth,2525,455.9558504,50,1,2709,2025-01-15T10:00:00.0
trondheim,723,455.9558504,50,1,2720,2025-01-15T10:00:00.0
